
Frage,Antwort
Was versteht man unter 'Personal' im HRM-Kontext?,Die Gesamtheit aller Arbeitnehmer:innen eines Unternehmens; also die menschliche Arbeitskraft als betriebliche Ressource.
Wie unterscheidet sich das Personalwesen vom Human Resource Management (HRM)?,"Personalwesen = administrativ (Verwaltung, Verträge); HRM = strategisch (Gestaltung, Entwicklung, Führung)."
Was sind die Hauptaufgaben der Personalverwaltung?,"Verwaltung von Einstellungen, Versetzungen, Abrechnungen, Arbeitsschutz, Kontrolle von Fehlzeiten und Urlaubsständen."
Was sind die Hauptaufgaben der Personalgestaltung?,"Strategische Gestaltung der Personalprozesse: Planung, Beschaffung, Einsatz, Entwicklung, Führung, Entlohnung, Freisetzung."
Was sind die Ziele des HRM?,Optimale Versorgung des Unternehmens mit Personal (wirtschaftlich) und Schaffung guter Arbeitsbedingungen (sozial).
Was bedeutet Zielharmonie im HRM?,"Abstimmung zwischen Unternehmens- und Mitarbeiterinteressen, um Konflikte zu vermeiden und Motivation zu fördern."
Was sind die wichtigsten Nachbarwissenschaften des HRM?,"Psychologie, Soziologie, Pädagogik, Arbeitswissenschaft, Medizin, VWL, Recht, Informationstheorie."
Was bedeutet der Megatrend Globalisierung für das HRM?,"Erfordert interkulturelle Kompetenz, globale Talentstrategien und internationale Arbeitsrechtkenntnis."
Wie beeinflusst der demographische Wandel das Personalmanagement?,"Führt zu Fachkräftemangel, älterer Belegschaft, Bedarf an Altersdiversität und Wissenstransfer."
Was beschreibt der Trend Individualisierung und Wertewandel im HRM?,"Bewerbende und Mitarbeitende erwarten Sinn, Selbstverwirklichung, Flexibilität und Work-Life-Balance."
Was bedeutet Digitalisierung im Kontext des HRM?,"Digitalisierung verändert Arbeitsprozesse, erfordert digitale Kompetenzen und neue Führungsformen (New Work)."
Was versteht man unter Ressourcenverknappung und Neo-Ökologie?,"Knappheit natürlicher Ressourcen lenkt HR auf Nachhaltigkeit, Green HRM und soziale Verantwortung."
Was meint der Begriff 'War for Talents'?,Bezeichnet den globalen Wettbewerb um Talente – Unternehmen konkurrieren um qualifizierte Mitarbeitende.
Was versteht man unter 'New Work'?,"New Work steht für selbstbestimmtes, sinnorientiertes Arbeiten mit Fokus auf Freiheit, Vertrauen und Innovation."
Was ist Employer Branding und welches Ziel verfolgt es?,Ein strategischer Ansatz zur Positionierung des Unternehmens als attraktiver Arbeitgeber.
Was ist die Employer Value Proposition (EVP)?,Das zentrale Leistungsversprechen (Alleinstellungsmerkmal) eines Arbeitgebers an aktuelle und potenzielle Mitarbeitende.
Welche zwei Hauptziele verfolgt Employer Branding?,Extern: Bewerber:innen anziehen (Attract); Intern: Mitarbeitende binden (Retain).
Welche drei Phasen umfasst der Aufbau einer Arbeitgebermarke?,"1. Analyse (Stärken, Zielgruppen), 2. Strategie (EVP), 3. Umsetzung (Kommunikation & Marketing)."
Warum ist Authentizität im Employer Branding entscheidend?,"Nur wenn das vermittelte Arbeitgeberbild echt ist, entsteht Vertrauen und langfristige Bindung."
"Was sind typische Faktoren, die Arbeitgeberattraktivität bestimmen?","Spaß an Arbeit, Sicherheit, Entwicklung, Bezahlung, gutes Klima, Anerkennung, Zukunftsperspektive."
Was ist der Unterschied zwischen Employer Branding und Personalmarketing?,Employer Branding = strategisch & langfristig; Personalmarketing = operativ & kommunikativ.
🌟 Was zeigt die KERNFOLIE 44 (Personalmarketing-Mix)?,"Sie zeigt die Verbindung von Zielgruppen (z. B. Schüler:innen, Studierende, Professionals) und Kommunikationskanälen (Print, persönlich, online)."
Warum ist der erste Schritt im Personalmarketing das Ableiten des Personalbedarfs?,"Weil man zuerst wissen muss, welche Zielgruppen und Qualifikationen das Unternehmen braucht."
Welche Kommunikationskanäle werden im Personalmarketing genutzt?,"Print (Zeitschriften), persönlich (Messen, On-Campus), online (Social Media, Jobportale, Website)."
Warum ist der parallele Einsatz mehrerer Kanäle wichtig?,Weil Bewerber:innen über verschiedene Kanäle erreicht werden – Mehrkanalstrategie erhöht Reichweite & Glaubwürdigkeit.
Welche Zielgruppen werden im Personalmarketing unterschieden?,"Schüler:innen, Studierende, Absolvent:innen, Young & Senior Professionals."
Wie verändert die Digitalisierung das Personalmarketing (Folie 46)?,"Sie macht Kommunikation schneller, interaktiver und datenbasiert – Social Media & Datenanalyse gewinnen an Bedeutung."
Welche digitalen Instrumente werden im modernen Personalmarketing eingesetzt?,"Social Media, Blogs, Bewertungsportale, Video-Apps, SEO/SEA, VR, Gamification, Analytics."
Was versteht man unter Candidate Experience Management (Folie 47)?,Das subjektive Erleben des Bewerbungsprozesses aus Sicht der Bewerber:innen.
Warum ist Candidate Experience ein zentraler Bestandteil des Employer Brandings?,"Weil CXM zeigt, ob das Arbeitgeberversprechen aus dem Employer Branding tatsächlich eingehalten wird."
"Was sind typische Fehler, die die Candidate Experience verschlechtern können?","Unklare Kommunikation, lange Antwortzeiten, fehlendes Feedback, unfreundliche Interviews."
Welche Ziele verfolgt das Candidate Experience Management (CXM)?,"Vertrauen schaffen, Arbeitgeberreputation sichern, positive Erlebnisse gestalten, Bewerberbindung erhöhen."
"Wie lautet der Satz, den Prof. Ruf zur Stimmigkeit der Erlebnisse betont, und was bedeutet er?","Erlebnisse müssen in sich stimmig sein, damit Interessent:innen weitergehen – nur konsistente Erfahrungen halten Bewerber im Prozess."
Welche Phasen gehören zur Candidate & Employee Experience (Folie 48)?,"1. Vor der Bewerbung, 2. Während der Bewerbung, 3. Onboarding, 4. Arbeitsleben (Employee Experience)."
Wie kann man die Candidate Experience im Bewerbungsprozess konkret verbessern?,"Schnelle Reaktionen, Feedback, authentische Kommunikation, Schulung der Recruiter:innen, Bewerberumfragen."
Was ist der Unterschied zwischen Candidate Experience und Employee Experience?,Candidate Experience = Bewerbungsphase; Employee Experience = Gesamter Arbeitserfahrung im Unternehmen.
Welche Kennzahlen kann man zur Bewertung der Candidate Experience heranziehen?,"Bewerberzufriedenheit, Abbruchquote, Weiterempfehlungsrate, Reaktionszeit (Time-to-Response)."
Was versteht man unter Personalbeschaffungsplanung (Folie 49)?,Planung der Maßnahmen zur Deckung des zukünftigen Personalbedarfs durch interne oder externe Beschaffung.
Was ist der Unterschied zwischen Personalbestandsplanung und Personalbedarfsplanung?,Bestandsplanung = aktueller Personalstand; Bedarfsplanung = zukünftiger Personalbedarf.
Was ist das Ziel der Personalbedarfsplanung?,"Sicherstellung, dass die richtige Anzahl an Mitarbeitenden zur richtigen Zeit am richtigen Ort verfügbar ist."
